timestamp,resource_id,resource_type,utilization,energy_kwh,region
2026-03-01T00:00:00Z,srv-compute-01,compute,0.42,12.5,us-east
2026-03-01T01:00:00Z,srv-compute-01,compute,0.38,11.8,us-east
2026-03-01T02:00:00Z,srv-compute-01,compute,0.35,11.2,us-east
2026-03-01T03:00:00Z,srv-compute-01,compute,0.31,10.9,us-east
2026-03-01T04:00:00Z,srv-compute-01,compute,0.30,10.5,us-east
2026-03-01T05:00:00Z,srv-compute-01,compute,0.33,11.0,us-east
2026-03-01T06:00:00Z,srv-compute-01,compute,0.55,15.2,us-east
2026-03-01T07:00:00Z,srv-compute-01,compute,0.72,19.4,us-east
2026-03-01T08:00:00Z,srv-compute-01,compute,0.85,22.1,us-east
2026-03-01T09:00:00Z,srv-compute-01,compute,0.88,23.0,us-east
2026-03-01T10:00:00Z,srv-compute-01,compute,0.84,22.3,us-east
2026-03-01T11:00:00Z,srv-compute-01,compute,0.81,21.5,us-east
2026-03-01T12:00:00Z,srv-compute-01,compute,0.79,20.8,us-east
2026-03-01T13:00:00Z,srv-compute-01,compute,0.99,35.4,us-east
2026-03-01T14:00:00Z,srv-compute-01,compute,0.83,21.9,us-east
2026-03-01T15:00:00Z,srv-compute-01,compute,0.80,21.0,us-east
2026-03-01T16:00:00Z,srv-compute-01,compute,0.75,19.8,us-east
2026-03-01T17:00:00Z,srv-compute-01,compute,0.68,18.2,us-east
2026-03-01T18:00:00Z,srv-compute-01,compute,0.58,15.9,us-east
2026-03-01T19:00:00Z,srv-compute-01,compute,0.50,14.1,us-east
2026-03-01T20:00:00Z,srv-compute-01,compute,0.48,13.7,us-east
2026-03-01T21:00:00Z,srv-compute-01,compute,0.45,13.0,us-east
2026-03-01T22:00:00Z,srv-compute-01,compute,0.41,12.3,us-east
2026-03-01T23:00:00Z,srv-compute-01,compute,0.39,11.9,us-east
